0,1,2,3,4,5
زمان وقوع بهوقت محلي,بزرگي,عرض جغرافيايي(درجه - شمالی),طول جغرافيايي(درجه - شرقی),عمق(کیلومتر),منطقه
۱۴۰۱-۰۲-۰۳ ۰۶:۲۵:۲۰.۹,۳.۱,۲۶.۳۰۱,۶۰.۱۲۷,۱۰,نيك شهر، سيستان و بلوچستان
۱۴۰۱-۰۲-۰۳ ۰۵:۱۶:۱۳.۱,۲.۸,۳۴.۹۳۶,۵۳.۹۴۹,۱۰,سمنان، سمنان
۱۴۰۱-۰۲-۰۳ ۰۴:۳۹:۲۳.۷,۲.۸,۲۷.۶۴۱,۵۴.۰۱۹,۲۰,گراش، فارس
۱۴۰۱-۰۲-۰۳ ۰۳:۳۶:۳۷.۴,۲.۵,۲۸.۳۷۷,۵۲.۴۸۸,۱,دهرم، فارس
۱۴۰۱-۰۲-۰۲ ۲۰:۰۶:۲۵.۰,۲.۷,۳۰.۵۰۴,۵۰.۷۸۸,۱۰,دوگنبدان، كهگيلويه وبوير احمد
۱۴۰۱-۰۲-۰۲ ۱۰:۴۸:۱۱.۹,۲.۵,۳۴.۵۷۴,۴۵.۳۷۴,۸,قصر شيرين، كرمانشاه
۱۴۰۱-۰۲-۰۲ ۰۶:۴۸:۲۳.۷,۲.۵,۳۳.۸۲۳,۴۸.۹۰۹,۱۰,بروجرد، لرستان
۱۴۰۱-۰۲-۰۱ ۲۰:۳۰:۲۳.۳,۲.۸,۳۸.۰۷۹,۴۷.۲۵۸,۸,مهربان، آذربايجان شرقي
۱۴۰۱-۰۲-۰۱ ۱۹:۳۸:۰۳.۹,۳.۳,۳۷.۷۵۶,۴۷.۴۰۴,۱۰,تركمانچاي، آذربايجان شرقي
۱۴۰۱-۰۲-۰۱ ۱۸:۲۷:۰۷.۹,۲.۶,۳۰.۹۸۵,۵۱.۶۶۶,۱۰,کمه، اصفهان
۱۴۰۱-۰۲-۰۱ ۱۴:۳۸:۱۰.۰,۳.۱,۳۸.۳۸۷,۴۵.۳۲۸,۵,تسوج، آذربايجان شرقي
۱۴۰۱-۰۲-۰۱ ۰۴:۰۰:۳۱.۸,۳.۹,۳۷.۱۹۶,۴۸.۷۸۷,۲۰,ماسوله، گيلان
۱۴۰۱-۰۲-۰۱ ۰۲:۴۹:۳۲.۳,۲.۵,۳۳.۵۹۰,۴۵.۹۸۸,۱۰,صالح آباد، ايلام
۱۴۰۱-۰۱-۳۱ ۲۲:۲۹:۵۴.۵,۲.۹,۲۹.۵۲۵,۵۹.۸۴۷,۲۸,نصرت‌آباد، سيستان و بلوچستان
۱۴۰۱-۰۱-۳۱ ۱۸:۵۲:۲۳.۸,۲.۵,۳۱.۶۲۶,۵۰.۶۵۳,۱۰,سرخون، چهارمحال وبختياري
